Age Average,Net Worth,Median Net Worth
18-24,"$93,982.80 ","$4,394.53 "
25-29,"$39,565.88 ","$8,971.58 "
30-34,"$95,235.53 ","$29,125.08 "
35-39,"$257,581.86 ","$40,666.52 "
40-44,"$316,660.61 ","$87,842.71 "
45-49,"$599,194.17 ","$105,717.43 "
50-54,"$838,702.95 ","$137,866.81 "
55-59,"$1,150,037.78 ","$168,044.19 "
60-64,"$1,180,377.62 ","$224,775.17 "
65-69,"$1,056,483.97 ","$209,575.26 "
70-74,"$1,062,427.63 ","$233,614.37 "
75-79,"$1,097,415.06 ","$242,699.75 "
80+,"$1,039,818.04 ","$270,904.40 "
